twait,signal_twait
0.000001,4.82866
0.000002,4.18588
0.000002,5.22669
0.000004,5.10216
0.000006,5.70781
0.00001,5.66253
0.000015,5.22468
0.000024,7.11021
0.000037,7.68528
0.000059,9.09382
0.000092,9.45013
0.000145,9.41237
0.000228,10.4881
0.000359,10.319
0.000564,10.6528
0.000887,11.2458
0.001394,10.6824
0.002192,10.6962
0.003446,10.3132
0.005418,10.7307
0.008518,10.3414
0.013392,10.6274
0.021055,10.0741
0.033103,10.6262
0.052046,10.8937
0.081829,10.3857
0.128653,10.5718
0.202273,10.3853
0.31802,10.4694
0.5,10.9896