freq_fsweep,signal__fsweep
409.1,0.0649496
409.101,0.00984148
409.102,0.0408267
409.103,0.0757176
409.104,0.195872
409.105,0.020951
409.106,0.0687174
409.107,0.0362355
409.108,0.0595382
409.109,0.095851
409.11,0.00789391
409.111,0.0631958
409.112,0.0336182
409.113,0.0271854
409.114,0.125909
409.115,0.00968357
409.116,0.0402644
409.117,0.0860056
409.118,0.057571
409.119,0.0370993
409.12,0.0884806
409.121,0.068597
409.122,0.0405292
409.123,0.0216481
409.124,0.0792079
409.125,0.0162485
409.126,0.038945
409.127,0.0788169
409.128,0.0482743
409.129,0.0614348
409.13,0.0199438
409.131,0.091239
409.132,0.145715
409.133,0.0739963
409.134,0.121042
409.135,0.110866
409.136,0.0650013
409.137,0.0236801
409.138,0.0223707
409.139,0.042245
409.14,0.019174
409.141,0.0435774
409.142,0.0177518
409.143,0.0141859
409.144,0.0250749
409.145,0.0366129
409.146,0.0304145
409.147,0.0550398
409.148,0.0563035
409.149,0.188214
409.15,0.0334144
409.151,0.0535382
409.152,0.0515509
409.153,0.0370608
409.154,0.0429579
409.155,0.0293731
409.156,0.0451597
409.157,0.0547949
409.158,0.0666831
409.159,0.0225586
409.16,0.0453124
409.161,0.00864805
409.162,0.0133196
409.163,0.0476009
409.164,0.0420725
409.165,0.016069
409.166,0.0215107
409.167,0.0042439
409.168,0.0450998
409.169,0.0875537
409.17,0.0410545
409.171,0.126896
409.172,0.066738
409.173,0.0606112
409.174,0.155463
409.175,0.134271
409.176,0.0643996
409.177,0.0213176
409.178,0.198498
409.179,0.0836274
409.18,0.0438408
409.181,0.139173
409.182,0.108097
409.183,0.0677511
409.184,0.0573305
409.185,0.0200023
409.186,0.0442147
409.187,0.0325741
409.188,0.0796236
409.189,0.0585295
409.19,0.0654108
409.191,0.0706831
409.192,0.082313
409.193,0.040488
409.194,0.0619782
409.195,0.0785562
409.196,0.0807323
409.197,0.0759495
409.198,0.0490554
409.199,0.0544945
409.2,0.0586153
409.201,0.0669209
409.202,0.0941523
409.203,0.0676133
409.204,0.0311447
409.205,0.0900406
409.206,0.0328183
409.207,0.0703458
409.208,0.0987124
409.209,0.137081
409.21,0.115787
409.211,0.0876212
409.212,0.0857698
409.213,0.116541
409.214,0.0537866
409.215,0.0128627
409.216,0.118361
409.217,0.0466766
409.218,0.132069
409.219,0.0148456
409.22,0.0275011
409.221,0.0418125
409.222,0.024505
409.223,0.0615224
409.224,0.0917953
409.225,0.0738577
409.226,0.0666337
409.227,0.110305
409.228,0.0614143
409.229,0.0503772
409.23,0.044386
409.231,0.0276442
409.232,0.0299351
409.233,0.0513357
409.234,0.0641034
409.235,0.15376
409.236,0.063678
409.237,0.0507861
409.238,0.121149
409.239,0.0138102
409.24,0.0808741
409.241,0.0987526
409.242,0.0304271
409.243,0.0997867
409.244,0.0522941
409.245,0.158594
409.246,0.0316456
409.247,0.0604499
409.248,0.0149591
409.249,0.0539468
409.25,0.0116788
409.251,0.121037
409.252,0.123539
409.253,0.0236862
409.254,0.0687473
409.255,0.0858038
409.256,0.0634826
409.257,0.0217297
409.258,0.052189
409.259,0.10406
409.26,0.0508493
409.261,0.123652
409.262,0.171979
409.263,0.12849
409.264,0.0434037
409.265,0.142515
409.266,0.108862
409.267,0.163157
409.268,0.194808
409.269,0.192592
409.27,0.105125
409.271,0.13921
409.272,0.209377
409.273,0.267506
409.274,0.345662
409.275,0.285823
409.276,0.295966
409.277,0.363432
409.278,0.465532
409.279,0.590275
409.28,0.698795
409.281,0.869486
409.282,1.14073
409.283,1.36199
409.284,1.94274
409.285,2.87472
409.286,4.09427
409.287,6.19543
409.288,8.95547
409.289,11.5777
409.29,13.7672
409.291,15.5035
409.292,15.8964
409.293,15.6488
409.294,14.7402
409.295,13.0562
409.296,9.56386
409.297,7.15089
409.298,6.18178
409.299,3.91068
409.3,2.86657
409.301,1.70275
409.302,1.34721
409.303,0.948894
409.304,0.782314
409.305,0.590398
409.306,0.521636
409.307,0.589489
409.308,0.352365
409.309,0.341676
409.31,0.177746
409.311,0.183561
409.312,0.168408
409.313,0.150749
409.314,0.133925
409.315,0.155491
409.316,0.15556
409.317,0.172836
409.318,0.0795667
409.319,0.0928611
409.32,0.120906
409.321,0.0950596
409.322,0.118881
409.323,0.123823
409.324,0.0304436
409.325,0.108174
409.326,0.0528316
409.327,0.0417445
409.328,0.0274709
409.329,0.0892537
409.33,0.0849903
409.331,0.0821152
409.332,0.130168
409.333,0.13152
409.334,0.109617
409.335,0.0180534
409.336,0.113426
409.337,0.0663654
409.338,0.0648177
409.339,0.107069
409.34,0.00845945
409.341,0.0585412
409.342,0.0823169
409.343,0.00968032
409.344,0.0654393
409.345,0.125311
409.346,0.0510895
409.347,0.0312682
409.348,0.0253818
409.349,0.0475189
409.35,0.104238
409.351,0.0306599
409.352,0.0394296
409.353,0.0560551
409.354,0.0406198
409.355,0.0306812
409.356,0.0203185
409.357,0.0419988
409.358,0.0440965
409.359,0.054944
409.36,0.268365
409.361,0.103413
409.362,0.135584
409.363,0.0847377
409.364,0.11033
409.365,0.0921215
409.366,0.0111194
409.367,0.0794191
409.368,0.0388624
409.369,0.0587701
409.37,0.0857377
409.371,0.0756121
409.372,0.0949118
409.373,0.107523
409.374,0.129764
409.375,0.0858984
409.376,0.0614471
409.377,0.0508898
409.378,0.0406506
409.379,0.0605226
409.38,0.00855936
409.381,0.0653784
409.382,0.0317962
409.383,0.0638093
409.384,0.0824732
409.385,0.0923037
409.386,0.0235281
409.387,0.0419487
409.388,0.0338709
409.389,0.0241214
409.39,0.0439599
409.391,0.0615782
409.392,0.097915
409.393,0.0501082
409.394,0.0728361
409.395,0.022974
409.396,0.00895925
409.397,0.0710492
409.398,0.0340547
409.399,0.0857436
409.4,0.107683
409.401,0.0331726
409.402,0.0907754
409.403,0.0520998
409.404,0.143083
409.405,0.0596088
409.406,0.0858111
409.407,0.0502905
409.408,0.0170714
409.409,0.0135306
409.41,0.0435917
409.411,0.0630891
409.412,0.0422619
409.413,0.0216189
409.414,0.0218701
409.415,0.0285937
409.416,0.0281433
409.417,0.0610429
409.418,0.0343678
409.419,0.0426464
409.42,0.199115
409.421,0.189638
409.422,0.0909285
409.423,0.0565624
409.424,0.0337659
409.425,0.110012
409.426,0.0466668
409.427,0.0639048
409.428,0.108246
409.429,0.0384672
409.43,0.0510131
409.431,0.0182496
409.432,0.0884251
409.433,0.0481477
409.434,0.0865524
409.435,0.0761193
409.436,0.0737225
409.437,0.0754211
409.438,0.120642
409.439,0.0435759
409.44,0.0768757
409.441,0.0431503
409.442,0.0395505
409.443,0.135689
409.444,0.0613728
409.445,0.0818812
409.446,0.0301517
409.447,0.0897626
409.448,0.0955578
409.449,0.166989
409.45,0.0864304
409.451,0.0443833
409.452,0.153821
409.453,0.0653828
409.454,0.0948935
409.455,0.065483
409.456,0.0508987
409.457,0.0390326
409.458,0.0746425
409.459,0.0518672
409.46,0.0279428
409.461,0.116263
409.462,0.098962
409.463,0.112023
409.464,0.0484035
409.465,0.0459931
409.466,0.0836945
409.467,0.06313
409.468,0.0692465
409.469,0.14338
409.47,0.0976802
409.471,0.0797136
409.472,0.0682556
409.473,0.100235
409.474,0.040976
409.475,0.0302335
409.476,0.0608159
409.477,0.0400187
409.478,0.0896355
409.479,0.0514858
409.48,0.0814398
409.481,0.0220367
409.482,0.0191538
409.483,0.0287935
409.484,0.0490407
409.485,0.0152928
409.486,0.0628461
409.487,0.0183148
409.488,0.0823295
409.489,0.0668543
409.49,0.0722738
409.491,0.0388627
409.492,0.0672583
409.493,0.0164817
409.494,0.0660082
409.495,0.0487103
409.496,0.0433352
409.497,0.0230135
409.498,0.0407292
409.499,0.0348811
409.5,0.0943523